"","transcript_id","RNA_WT_rep1","RNA_WT_rep2","RNA_WT_rep3","RNA_pbp1d_rep1","RNA_pbp1d_rep2","RNA_pbp1d_rep3","RNA_pab1d_pbp1d_rep1","RNA_pab1d_pbp1d_rep2","RNA_pab1d_pbp1d_rep3","RPF_WT_rep1","RPF_WT_rep2","RPF_WT_rep3","RPF_pbp1d_rep1","RPF_pbp1d_rep2","RPF_pbp1d_rep3","RPF_pab1d_pbp1d_rep1","RPF_pab1d_pbp1d_rep2","RPF_pab1d_pbp1d_rep3","CDS_WT_rep1","CDS_WT_rep2","CDS_WT_rep3","CDS_pbp1d_rep1","CDS_pbp1d_rep2","CDS_pbp1d_rep3","CDS_pab1d_pbp1d_rep1","CDS_pab1d_pbp1d_rep2","CDS_pab1d_pbp1d_rep3"
"4023","YGL083W_mRNA",9116.02,10301,8928.45,10518.39,9491.09,8917,6686.39,6844.06,6939,190.13,231.51,226.11,193.03,238.63,213.01,132.03,187.01,74.09,184,221.99,215,171,229.1,201,128,180,66
"4024","YGR245C_mRNA",14362.93,16489.99,14844.96,17295.68,17407.36,14815.96,8246.6,8890.42,9245.09,520.96,667.7,688.65,651.89,840.49,748.35,319.37,458.93,207,494.97,638,656,585,802,702,301,438,193
"4025","YDR469W_mRNA",2919,3314,2545.98,3852,3223,2848,4514,5298.01,4313,55,63,59,78,92,90,86,110,37,55,62,56,76,89,87,85,108,34
"4026","YKL148C_mRNA",12654.06,13821.82,11014,12988.99,12229.43,9806.72,7181,9268.72,8856,1021.9,1245,1375.4,1014.86,1416.51,1157.03,435.65,996.23,435.2,973,1183,1308.12,933.84,1339.18,1110,418.61,946,400
"4027","YLL041C_mRNA",7506,7874,6516.69,7535.74,6238.97,5725,7425.13,6307.09,7536.96,553.92,589.98,607.43,389.26,600.33,528.02,385.18,675.13,222.3,534,563,589,373,581,510,375,654,209
"4028","YKL141W_mRNA",8997.86,9848.87,7798,11972.81,9357.95,8481.01,14969.26,12126.22,13919.32,391.03,393.42,328.03,463.37,463.96,368.22,712.98,929.81,400.42,373,377,317,427.98,454,349,691,889.98,378.98
"4029","YDR178W_mRNA",6222.04,6832.13,5445,8189.01,6305,5294.78,8675.02,10594.98,9533.84,344,388,348.02,368.94,449.28,385,519.99,1220.14,357.03,325,359,333,344,426,364,495,1129,314
"4030","YOL071W_mRNA",652,654,567,723,623,538,1748.99,1504.99,1460,45.07,45.03,49.33,54.02,51.02,56,111,186.18,82.01,44,43,47,51,51,52,108,176,76
"4031","YDR379C-A_mRNA",328,361,293,639,383.17,291,927.71,1128,800,18.1,8.08,5.83,31.99,12,10,62,71.25,32.13,17,7,4.97,29,11,6,59,65,32
"4032","YDR511W_mRNA",1712.45,1800,1371,1837,1366,1332.08,5353.09,4138,4201.18,105,118.47,90.11,91.41,137.05,81,439.7,486.53,155.04,96,113,84,77,132,79,419,458,143
"4033","YBR269C_mRNA",1208,1250,864,1703,1264,1102,4259,2722,2865,57.08,44,41,120,66.01,59.05,324.12,296.13,159,54,41,39,111,62,56,301,273,147
"4034","YLR022C_mRNA",4133.99,4852.15,3786,6942.78,5974.64,5395,9429.85,4795,7624.84,82.85,78.89,96.46,165.7,146.82,148.79,268.17,176.41,116.32,78,69.23,90,145,136,131,245,159,106
"4035","YIL113W_mRNA",212,202,159,265,269,223,451,367,348,7,4,1.01,7,8.99,5,17.19,21.02,8.2,6,4,1,6,6,3,16,14,6
"4036","YKL193C_mRNA",2768.04,2949,2418.01,3831.03,3393,2865.75,5592.46,5638,5413.83,273,312.07,331.85,450.28,405.93,360.92,576,738.55,371.29,263,295,319,419,383,346,546,686,344
"4037","YGL056C_mRNA",12215.01,13938,11966.98,13793,13387.84,11299.69,15908,21246.79,21658.86,742.63,911.39,962.87,700.71,1069.41,789.13,737.6,1036.45,334.01,710,877,933.02,646,1010.92,753,713,975,305
"4038","YBR214W_mRNA",4234,4840,3682,5007.03,4851.43,3531,6710.99,6619,6704,332.14,365.6,344.63,396.1,488.46,339.83,372.37,417.85,179.62,268,304,284.98,317,402.99,266,343.99,357,159
"4039","YIL084C_mRNA",1941,2223.89,1852.96,2408,2224,1981,2262,2842,2785,425.8,436.09,594.04,307.39,563.23,685.16,402.1,882.02,189.01,412,423,586,291,551,663,393,867,178
"4040","YGL224C_mRNA",3079.37,3118.09,2498,4034,3314,2961.96,2399,1951,2209.92,133.01,121.46,113.14,173,197.07,180.43,103.52,107,55.34,112,106,94,140,172,149,81,72,39.84
"4041","YBL104C_mRNA",5760,6276,5289,6223,6407.87,5125,4838,4602,4946,147.02,212.03,238.22,139.08,240.15,279.12,77.05,206.02,71.2,139,200,227,128.02,227,266,71,195,68.06
"4042","YDR164C_mRNA",7386,8251,7057.88,8130,7941,6637.94,5701.93,7007.82,6438.42,374,493.03,505.1,297,474.02,465,184.45,303.1,116,369,474,487,278,449,445,177,283.69,97
"4043","YLR166C_mRNA",5317.25,6029.95,5000,6501.04,6688.93,5616.52,5848,6158.44,6383.13,200.03,223,230.06,207.02,361.25,283,167.03,339.99,125.01,194.4,216,226,193,340,272,159,316,112
"4044","YIR022W_mRNA",3414.55,3096.18,2696.82,5157.13,3771.31,3195.74,8289.85,5327.53,6469.19,234.36,194.77,218.1,354.67,332.92,249.77,500.15,534.52,304,180.95,147,160,258.99,252,197,353,377,204
"4045","YNR026C_mRNA",6051.94,6415,5402,6633.01,6068,5265,5196,4703,5581,340,304,344.25,411.91,383.01,367.07,321.02,371.03,211.04,321,293,319,372,364,342,309,342,189
"4046","YLR208W_mRNA",18919.73,19653,17281,24121.67,20929.6,18076,17731.28,12734,13221.52,3586.01,3141.1,2949.98,3976.28,3793.39,3107.4,3134.39,2776.98,1453.46,3362,2872,2735,3434,3519,2878,2895,2431,1041.99
"4047","YMR079W_mRNA",18556.07,20000.95,17758.77,24392.7,20656.83,19214,27431.43,20350.27,23071.71,1296.21,1696.65,1962.33,1735.89,2429.76,2411.28,1843.41,2276.88,1018.08,1233.98,1628.98,1873.97,1585,2314,2316,1748,2117.98,936
"4048","YMR079W_pre-mRNA",2943.79,3310.22,2603.47,3435.48,4193.12,2796.59,3396.31,3338.81,3353.48,8.81,0,17.95,8.98,8.64,0,0,0,0,9.02,0,18.03,0,0,0,0,0,0
"4049","YGL233W_mRNA",6988,7980.98,6757.88,8994.87,8194,6976.93,6465.13,5045,5631,611.35,591.06,603.4,669.77,632.01,701.04,460.17,649.17,324.99,587,560,572,629,608,664,444.96,618.02,303.02
"4050","YPL085W_mRNA",54629.27,61255.6,52725.75,59062.38,64822.39,49331.19,55259.51,57316.66,43675.26,1147.49,1186.64,1083.91,1469.76,1673.85,1183.53,1769.49,2071.81,563.75,1103.04,1149,1046,1347,1592,1115,1700,1986,539
"4051","YBL050W_mRNA",3220.22,3245.84,2942.98,4755.98,4374.57,3590.9,6944.06,4044.3,4193.97,482.01,534.95,488,762.01,794.01,747.52,996.09,1118.03,373.1,466,512,473,676,745,708,955.99,1062,346.56
"4052","YBL050W_pre-mRNA",204.78,276.18,142.03,227.02,200.43,226.1,393.4,366.7,419.03,0,0,0,0,0,0,0,0,18.91,0,0,0,0,0,0,0,0,9.44
"4053","YBR080C_mRNA",11226,12446,10860.98,15419.71,15511.76,12447,9408.24,9184,11033.27,304.53,346.4,355.02,507.73,536.23,434.01,351.94,442.5,189.43,286,332,333.76,461.92,506,403,334.98,415.14,179.7
"4054","YNL272C_mRNA",6401,6544.89,5550,7464,6736,5954,5415,5768,5603.01,210.23,190.78,206.88,258.41,245.25,232.09,190.77,214.99,81.06,206,185,199,237.01,239,217.01,187,199,72
"4055","YDR498C_mRNA",4402.92,4621,3821.03,5545,4582,4208,5677,3842.98,5189,173.18,192.02,196.02,239.01,236.11,216.02,242,257.48,146.83,165,186,185,218,228,207,239,243.99,134
"4056","YNL287W_mRNA",41391.21,47108.74,40357.36,49842.11,50556.6,41613.01,33783.68,26123.67,24762,2345.5,2588.23,2622.37,2697.58,3387.52,2871.15,1802.96,2644.49,868.98,2242,2483,2517,2517.99,3232,2753,1736.99,2500,813.99
"4057","YLR268W_mRNA",8208,8965.88,7176.99,11565.54,9153.9,9012.02,12930.97,7982,8932.78,343.44,389.57,333.01,579.06,568.02,430.22,560.23,615.45,263.27,282,331.34,281.03,451,470.06,360,452.01,497.29,208.02
"4058","YPR181C_mRNA",70328.3,80081.96,68189.73,78376.64,77755.13,64275.39,41165.44,40261,43500.54,4370.15,5081.6,5311.18,4971.98,6561.02,5003.97,2278.54,3768.73,1506.03,4171,4836.95,5080.38,4590.05,6241.93,4727.02,2166.84,3547.88,1335.82
"4059","YIL109C_mRNA",43934.23,48514.66,40893.75,47566.67,48412.29,38849.31,34039.04,38333.4,32071.68,2127.47,2240.24,2162.48,2467.16,2822.03,2276.96,1616.22,2030.53,871.84,1995.85,2112,2045,2242.97,2669.14,2117,1547.98,1894.91,813
"4060","YDR238C_mRNA",45422.34,53057.3,45148.51,49320.77,55327.04,40720.39,28083,23866.05,23215.6,1616.59,2029.07,2271.63,1778.97,2653.63,2162.4,1153.51,1677.17,644.17,1547,1921,2180,1562,2514,2045,1101,1568,601
"4061","YGL137W_mRNA",32904.76,37445.32,32885.27,45339.45,49639.45,37901.97,32982.44,33794.79,28825.77,2070.94,3070.2,3623.06,3210.64,5074.06,4406.44,2398.56,5006.24,1679.01,1991.7,2931,3478,2916.99,4884.7,4168.81,2296,4737.39,1548
"4062","YGL137W_pre-mRNA",962.17,1436.8,899.59,1470.35,1100.53,759.89,1650.25,1584.57,830.81,15.3,0,0,0,15.3,61.2,0,30.6,0,15.3,0,0,0,15.29,61.18,0,30.59,0
"4063","YIL076W_mRNA",11870.68,12869.88,11176.55,18272.11,15603.01,13769.94,20242.88,17795,17886.06,735.05,834.73,747.1,878.01,1154.98,1030.01,1133.17,1638.32,672.77,711,795,732,800,1097.96,984,1084,1555.68,638
"4064","YER008C_mRNA",13138,14940.17,12421.79,13829.62,15494.8,11642.35,12194.39,14752.35,13395.47,235.04,297.4,317.26,257.55,374.06,249.02,193.05,276.05,138.17,221,284,300,229.01,356.25,234,183,259,129
"4065","YDL195W_mRNA",97413.37,113009.15,100229.1,105300.2,116397.48,88755.38,66607.77,70696.61,60764,2927.39,3319.85,3640.95,3396.06,4505.28,3217.02,2160.71,3522.9,1094.16,2818.92,3165.95,3496.95,3097.98,4282.93,3052.94,2075,3339.03,1027
"4066","YLR440C_mRNA",4297.96,5019.83,4158.68,5324.99,5089.9,4099.75,3636.99,3328.91,3500,174.46,206.7,175.04,170.13,282.46,193.04,136.98,160.04,86.32,164.05,188.92,154.01,145.12,258.44,170.03,117.41,142.54,75.29
"4067","YFL005W_mRNA",6526.57,7009.04,5759.5,9103.24,8086.62,6608.47,9823.24,6042.08,6497.12,440.86,442,439.03,625.38,667.59,489.65,736.01,809.21,379.07,315.48,320,331,460.99,484,382,528,511.29,225
"4068","YDR166C_mRNA",9179,10500,9024,10382.7,10248.23,8977.98,9811.08,8753,8871,142.01,155.05,155.15,136.16,189.02,177.77,161.06,217.02,72.13,134,146,151,122,181,167,157,207,66
"4069","YFL045C_mRNA",43510,44111.38,37261.76,47441.95,42375.65,35185.91,27244.34,23445.62,22155.05,2468.87,2880.85,2868.01,2562.42,3174.33,2707.25,1598.55,2341.09,859,2393.99,2740,2747,2305.43,3042,2564,1546.02,2235.04,818.01
"4070","YMR013C_mRNA",3596.39,3581,2887,4875.72,4015,3316,4899,2886,3418,181.74,164.44,180.05,223.29,220.02,186.04,183.05,173.58,79,168,154,169,206,209,173,170,166,77
"4071","YIL068C_mRNA",5634,6357,5492,6142.81,5620.82,5076.93,4657,3190,3900,188.02,205.88,219.11,163.11,203.31,212.04,127.09,125,65.99,152,158,164,123.01,173,168,108,110,53
"4072","YLR378C_mRNA",64126.41,60398.83,50099.5,76728.33,58902.94,50783.42,86921.76,61484.77,54658.9,4803.38,4619.26,5337.58,5711.03,5647.72,5293.33,4495.27,5433.88,2338.12,4214,4050,4641,4765,4879,4525,3870.98,4657.05,1955
"4073","YPL094C_mRNA",10920,11194,9129.01,14996.1,11843.1,10575.37,21897.18,12684,13649.12,652.04,584.01,522,1019.43,734.53,607.01,1582.97,1372.85,741.02,592,515,466,883,630,542,1363,1205.98,677
"4074","YOR254C_mRNA",22454.14,21601.87,18999.2,27997,23300,18192,17189.97,10127,11340.92,1220.54,1006.22,1210.05,1601.43,1480.94,1171.05,768.17,743.04,357.36,1173,956,1154,1455,1405,1115,741.99,700,324
"4075","YML105C_mRNA",7141.08,7446.92,6244,8914.63,7617.96,6488.93,7746,4982,6332,261.56,247.16,250.06,387.02,345.61,307.24,311.97,258.05,174.05,249,239,236,365,331,291,303,240,160.98
"4076","YBR171W_mRNA",5986,5182,4720.99,7634.8,5804,4855.03,10485.75,7179,8596.91,140,119.08,132.23,242,172.4,135.91,272.01,225.79,129,132,112,124,223,158,127,255,203,119
"4077","YDR170C_mRNA",65083.42,70348.29,62970.82,77143.42,77613.63,63139.75,50717.41,47485.84,38810.36,1877.82,1931.3,1965.52,2085.4,2610.75,2174.52,1664.12,2494.9,693.68,1769.93,1830,1841,1906,2465,2023,1581,2336,631.89
"4078","YLR292C_mRNA",8223.99,8852,7424.87,12106.05,9769,8906.05,14241,8714.97,12227,179,190.1,160.31,336.04,288.55,249.01,434.54,374.09,204.02,151,161,140,298,237,216,385,280,129
"4079","YPR055W_mRNA",6755.97,8028.31,6545.09,8112.71,8068.28,6867.93,7812.89,5793.19,6335.94,293.31,349.26,364.14,263.96,400.27,331.62,251.02,489.44,161.03,284,338,348,248,383.01,313,238,465.98,153
"4080","YGR009C_mRNA",5338,5973,4966,5966,5623,4709,5582,3841,4491,83,90.32,75,119.38,104.01,76.16,140.02,117.14,63.74,81,82,72,104,95,66,130,112.17,60
"4081","YDR077W_mRNA",421433.77,451586.77,407195.1,522775.87,466423.48,388281.05,1094423.5,854224.63,1060625.08,20387.11,19946.53,19084.54,33383.19,24718.48,19375.04,54113.22,46786.93,30628.92,19260.53,18843.83,18102.04,29697.94,23135.13,18057.66,51026.43,42957.07,27439
"4082","YCR067C_mRNA",18199.38,19262.16,17115,20592.63,19690.81,15907.8,19308.58,19644.98,17571.02,857.9,809.79,903.52,688.3,1063.24,746.53,664.11,861.25,298.12,823,774,856.98,621,989,714,643,814,272
"4083","YLR026C_mRNA",5334.8,5515,4629.01,6270.54,5340.3,4519,5483,5392,6079.95,226.82,210.58,188.49,339.07,304.29,220.02,272.09,352.06,218.07,170,133,145,238,209,151,236,196,107
"4084","YBL066C_mRNA",9274.63,10124.93,8488.79,11179.65,10003.73,8890.89,11445.27,12428,11533,159.03,143.47,161.11,176.51,175.83,130.13,148.42,370.57,139.06,143,116,131.01,122,144,110.02,133.01,251,92
"4085","YMR086W_mRNA",11861.97,12817.35,10457.91,14045.99,13152.91,8445.99,12206.07,21876.98,15649.08,193.58,228.47,176.96,298.72,256.58,142.62,222.93,296.47,100.78,180,210.98,169.96,267.89,234.98,134,204.96,270.98,86.49
"4086","YKL105C_mRNA",7510.54,8257.85,6808.16,8834.96,8354.3,6250.99,7189.28,12956.06,10800.12,192.69,168.23,154.79,228.74,187.02,153.85,116.85,151.53,58.37,180,147,123,189,167.55,131,96,128,44
"4087","YGL100W_mRNA",8065,8400,7293,11131,9542,8978.23,10045,6703.94,7946.92,649.08,733.13,683,718.56,942.11,907.08,823,959.04,342.04,617,713,654,650,904,868,791,922,325
"4088","YDR363W-A_mRNA",2665.15,3045,2412,4418.01,3630,3290,4558,4056.94,4104,28,22,28.08,54,33,33,75,91.05,43,27,17,23,45,31,28,63,80,33
"4089","YLR430W_mRNA",25771.49,29397.64,25018.87,30050.53,30165.85,24848.27,26785.77,28056.16,25501.59,440.1,534.42,582.48,526.06,665.05,586.03,477.61,858.33,269.61,405,489,551,472,603,541,441,708,216
"4090","YMR059W_mRNA",739,762,572,1053,782,781,2052.88,1253,1567,109,135,88,158.23,153,144.03,362.16,248.02,156.99,108,134,86,149,149,140,350,240,144
"4091","YLR105C_mRNA",1505.88,1744,1383,2046,1819,1564,2263,1843,1771,43.17,36.42,35.14,57.34,51.41,55.49,58.14,85.09,28.04,41,34,34,53,49.71,51,56,79,26
"4092","YAR008W_mRNA",1286,1449,1209,1700,1603.96,1194,1298,1017,1177,42.98,50.08,45,56,58,45,39.13,51,42,39,44,40,44,51,39,33,41,37
"4093","YPL083C_mRNA",2924.07,3167.64,2687,3864.85,3424,3069.94,2583.39,2010.47,2384.24,70.01,61.45,75.01,72.5,92.06,79.03,69.01,70.03,38,62,58,62,62,82,75,63,62,35
"4094","YAL067C_mRNA",307,336,222,438,413,318,1110,1918.99,1352,33.72,53.95,57.87,27.74,63.89,54.01,67.92,134.84,24.8,28,44,51,21,53,46,63,124,22
"4095","YOR184W_mRNA",14729.92,15887.24,13982.67,21214.97,19327.72,16079.14,24574.19,18019.48,19197.65,543.04,646.01,645.16,902.53,973.68,803.66,978.52,1231.8,479,503,605,606,794,909.99,748,932.93,1149,447
"4096","YGR208W_mRNA",4087.6,4264,3536.84,5793.53,5095,4555.79,5241.02,3664,3780.15,203,215.12,194.14,229.02,296.33,275.38,278.45,295.76,116.16,196,210,187,211,286,267,272,280,112
"4097","YER081W_mRNA",3593.14,4190.95,3345.94,5484.34,5098.92,4218.42,19602.72,41801.19,19814.36,204.59,201.93,211.14,196.01,333.19,264.56,1313.77,5491.69,833.26,193.85,196.52,206.62,169.44,323.03,248.82,1231.82,5194.03,771.6
"4098","YIL074C_mRNA",11411.1,12384.15,10469.97,12556.06,12308.83,9906.88,8862.92,6506.48,6155.89,1603.73,1954.57,1936.29,1457.07,2101.58,1790.16,990.5,1305.85,515.83,1531.15,1886.48,1869.38,1312.56,2018.97,1724.18,948.18,1264.97,476.4
"4099","YDR023W_mRNA",34169.01,37163.07,31284.23,46233.84,45336.75,35161.81,48067.16,37813.98,36238.58,5673.54,6522.37,6457.79,7077.37,8524.06,7353.63,7724.85,10152.26,3579.16,5363,6181,6169.93,6375.7,8046.01,6941,7446,9587,3327
"4100","YHR119W_mRNA",9120.14,10319.98,8100.91,10648.42,9917,8567.24,11922,15009.88,13578,161.91,179.53,167.25,139.04,200.16,145.32,187.49,217.02,96.02,149,166,160,132,187,131,174.01,207,88
"4101","YJL168C_mRNA",8114.84,8834.84,7483.36,9726.69,9152.62,7942.85,7394.3,6414,8560.5,162.02,159.4,169.73,192.67,203.8,147.11,135.45,142.79,84.93,152,148,144,169,179,127.01,121,118,66.01
"4102","YKR029C_mRNA",3822.93,4310.75,3703,4721,4641,4143.77,4720,4862.8,5224.75,174.02,179.19,165.24,181.56,196.63,164.79,185.64,317.04,101.34,167,168.99,162,174.97,184,159,180,294.99,94
"4103","YJL105W_mRNA",132,138,122,197,138,160,337,674,747,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4104","YHR207C_mRNA",1715,1819,1491,2172.73,2247,1746,2111,1531,1840.72,148.02,136,143,142.02,189.47,169.02,159.84,251.01,73.84,143,132,137,133,176,162,153,244,71
"4105","YPL165C_mRNA",38,72,48,85,59,44,6,13,9,1,1,4,2,1,3.01,0,0,0,1,1,3,2,1,3,0,0,0
"4106","YOR165W_mRNA",14743.55,15962.88,14371.99,15909.17,16682.41,13781.47,12556.24,9910,11057.98,558.19,585.97,611.16,542.14,685,580.09,508.13,708.39,343.79,520,534.07,580,465,617,506,472,591,265
"4107","YDL168W_mRNA",4462.99,4670,3960,6012,5710,4418.8,6369,5315.01,5721,1102.99,1029.92,944.31,1434.04,1424.05,1216.15,1704.29,2297.29,1029.46,1051,990,897,1322,1347,1147,1623.76,2130.93,949.89
"4108","YNL049C_mRNA",12068,13365.83,11548.98,15622,15022.98,12683.99,11017.04,11903.67,11020,395.94,400.43,399.09,452.73,526.52,448.05,301.02,408.05,188.53,371,382.17,382,408.71,492.86,428,292,380,175
"4109","YHR098C_mRNA",26917.51,31559.15,26721.12,33444.14,31906.89,27376.85,28839.44,23421.81,21312.22,1052.4,1543.47,1626.92,1101.82,1994.6,1902.43,872.23,1786.71,608.41,1001,1500.83,1585,1027.97,1923,1841,842,1716,569
"4110","YJR095W_mRNA",26,27,21,40,48,31,486,533,470,1,0,0,2,1.02,1,17.01,10,5,1,0,0,2,1,1,17,10,5
"4111","YOR315W_mRNA",17717.39,17623.08,15289.55,16740.08,13743.01,12450.25,5676.84,6398.01,7179.83,611.89,696.77,678.31,567.37,538.76,482.1,147.08,147.81,74.58,577,660,641.01,493,510.58,455,143,134,65.25
"4112","YLR321C_mRNA",4663,5279.96,4430,5604,5205.68,4548,3910,3018,4102,189.94,201.06,209.1,270.07,261.06,200,161.29,184.05,96,173,174,190,223,242,182,150,159,80
"4113","YJL145W_mRNA",6477,7066.01,6361.26,9083,7918.66,6921,6795.95,6023.73,6537,316.13,315.01,341.2,531.29,449.02,370.77,370.1,434.01,249.01,301,296,333,482,428,349,356,407,228
"4114","YLL003W_mRNA",3702,4333,3377,5346,4794,4106,4838,5217,5227.95,57.01,54.03,50.1,49.13,55.05,76.15,48.15,75.36,35,52,50,47,44,53,71,46,68,34.01
"4115","YKL051W_mRNA",2396,2288,1764.9,2858,2115,1813,14978.94,10276.81,13398.98,99.06,90.66,80,90.07,92,83.62,567.04,395.84,309,94,84,71,80,89,77,520,353.99,275
"4116","YOR140W_mRNA",10543,11502.64,9714.08,12650,11066,9937,10673,11837,12259.33,219.34,182.25,224.37,235.15,227.62,189.99,183.51,206.01,99.68,198.99,162.95,202,204.57,204.82,162.99,173,183,89
"4117","YOR021C_mRNA",6867,6776,6004,8589.31,8328.89,7166.98,11473.01,8851.18,9386.03,289.98,308.19,318.11,389.93,443.11,410.89,551.34,658.02,388.99,268,277,287,349,402,373,512,565,323
"4118","YLR403W_mRNA",14243.06,16278.93,13707.4,15686.69,13717.38,12692.05,14482,13132.32,14350,284.03,309.15,279.18,320.14,333.23,261.54,274.1,350.04,146.02,277,291,260,295,315,254,259,318,135
"4119","YKL006C-A_mRNA",1144.99,1258.13,992.85,1599.93,1195.1,1126.27,2959.38,2249.54,1925.97,99.04,111.98,113.08,172,188.4,157.24,340.8,692.98,369.15,78,70,76,102,122.5,105,229,260,80.5
"4120","YKL006C-A_pre-mRNA",367.76,401.87,333.15,415.07,432.9,347.73,608.5,452.46,370.03,0,0,0,0,3.6,0,0,0,3.61,0,0,0,0,3.5,0,0,0,3.5
"4121","YBL102W_mRNA",4570.12,4635,3721.95,7283.64,5750,5177,10083,7854.99,7049,161.46,196.88,134.16,363.03,262.84,225.53,394.08,470.99,179.15,150,182,127.12,304,232,202,357,426,160
"4122","YIL099W_mRNA",151,110,81,160,136,108,582.14,1423,1265.07,0,2.01,2.01,6.56,3.02,6,4.01,13,5,0,2,2,3,2,5,4,10,2
"4123","YLR336C_mRNA",3753.39,4350.68,3650.91,3865.02,4418.69,3371.15,3158,3314,3295,143.01,217.02,215.38,234.02,255,195.03,144.02,184.11,87.14,133,207,203,221,239,186,135,173,81.51
"4124","YPR198W_mRNA",4937.77,4533,3908,7764,5990,5000,7469,6268.66,6687,336.06,323.11,371.96,518.45,580.2,438.32,300.01,473.48,249.04,309,298,340,450.04,513,387,278,431,222
"4125","YPL047W_mRNA",1607,1888,1399,2374,1859,1691,1872.21,2618,2312,66.4,70.15,35.19,99.02,73.5,63,47.07,65.01,31,63,68,34,92,71,53,44,56,22
"4126","YCL010C_mRNA",3535,3938.08,3038.01,4779,3739.52,3431,4264.44,5489,4865.13,86,81.06,62.13,116.14,112.07,109.09,103.04,113.98,61,84,76,59,108,105,97,98,106,56
"4127","YGL066W_mRNA",3886,4444,3534.02,5075,4633,3617,4982.99,5843,6152,127.77,130.37,112.06,150.29,151.87,102.12,169.02,166.54,76.01,123,127,106,139,140,98,162,157,71
"4128","YJR134C_mRNA",4502,5170,4339,5529,5164,4210,5003,4860,5769,310.01,292.76,264.49,288.06,299,296,281.08,270.06,95.01,302,284,260.92,264,290,289,271,254,90
"4129","YIR001C_mRNA",3686.25,3786.99,3234.63,4834,3729.98,3594,4406,4212.03,5035,108,106.45,88.05,184.04,137.01,93.04,178.89,104,93,101,100,83,165,127,82,166,97,84
"4130","YOR073W_mRNA",3715.02,4196,3175.08,5194.99,4301,4142,4948,5604,5589,76.01,95.07,78.09,100.05,104.42,81.02,93.99,125.01,59,69,91,72.6,96.29,99,78,89,117,56
"4131","YMR190C_mRNA",11248,12169,10288.04,16222,14947.08,13036.95,19097.01,37542.19,28301,110.09,132.39,107.01,178.06,181.02,159.06,181.61,284.14,91.24,106,126,99,156,171,152,172,260,75
"4132","YOR057W_mRNA",4938,5083.65,4147.99,7034.23,5938.38,5277,6427.02,6058,5924.93,344.01,335.3,288.03,422.37,525.03,433.73,434.07,519.63,223,327,321.97,281,393,505,415,416,497.33,209
"4133","YOR007C_mRNA",31974.68,34336.49,28092.11,41054.58,36667,30626.4,54765.91,53375.51,47086.68,3618.46,3839.93,3501.17,3437.06,4332.56,4453.08,5780.44,9265.4,3551.28,3507,3735,3414,3257,4209,4295,5582,8800,3295
"4134","YPR161C_mRNA",7045,8161,6812.3,7980.29,7634,6557.9,6205.03,6889,6931.06,155.01,205.09,200.17,135.59,200.23,166.62,107.3,156.01,64.13,143,191,191,102,185,150,96,140,60
"4135","YKR043C_mRNA",16319,16781.93,13924,23358.94,20780.97,17785.96,32494.98,21874,25892.61,591.38,584.09,639,1005.98,1040.03,970.45,1428.67,1651.83,756.99,572,563,614,915,986,910.39,1377,1587,714
"4136","YER096W_mRNA",459,520,446,626.97,587,465,1676,1897,1447,23.04,24,27,39.03,36.1,37.9,98.01,136.67,51.84,22,22,27,37,34,35,95,130,44
"4137","YBL031W_mRNA",2699,2901,2310,3366,2712,2612,3382,5133.59,5039,94.03,76,81.01,97.02,104.01,76.03,87,115.03,47.27,92,70,79,88,103,71,85,112,46
"4138","YGL228W_mRNA",10489.01,9812.89,8346.33,14331.22,11362,9510.98,14412,8603.2,9720.96,695.34,653.5,643.14,1118.05,939.66,820.09,862.72,778.24,418.51,674,635,621,1040,889,789,833,742,397.99
"4139","YKL130C_mRNA",2006,2140,1749,2370,2156.87,1826,3005,2046,2581.88,298.43,322.25,290,389,404.16,322.8,394.01,390.4,156,278,305,265,358,377,295,378,353,144
"4140","YBR130C_mRNA",7775.62,8408,6727.08,10652,9072.01,8486,11104.98,5350,7550,137.05,141.49,107.06,253.4,188.19,140.04,218.1,197.93,82,127,131,99,231,176.99,133,200,187,69
"4141","YOR035C_mRNA",4586.88,5287.3,4324.34,5728.72,5359.07,4645.02,6304.99,10697.62,9162.63,142,158.29,134.2,188.74,152.03,162.03,176.19,210.52,108.02,133,144,124.37,170.64,144.08,147.16,171.06,196.38,92
"4142","YDR393W_mRNA",2879,2969,2368,3202,2614,2300.21,2759,2790,2859,52,60.01,51,68.45,62.01,49.18,38,44,17,49,56,51,58.07,56,49,36,43,17
"4143","YBR258C_mRNA",227,274,212,345,266.04,225,757,645,699,31,12,29,30,30.03,23.01,83.01,78,44,23,10,21,18,20,17,54,54,27
"4144","YMR118C_mRNA",22,18,15,30,18,28,129,402.01,346,1,1,0,1,2,3,3,13.01,9,1,1,0,1,2,1,3,12,8
"4145","YLR164W_mRNA",362,418,266,715,443,468,736,646,694,6.01,4,7.1,14,8.58,8,15,15.54,10.01,6,3,7,12,8,8,15,14,8
"4146","YBR263W_mRNA",31948.02,32100.48,27387.98,38490.31,33773.95,26662.68,36699.4,35166.02,31316.48,1558.22,1692.59,1812.94,2177.58,2287.48,1776.3,2237.75,3688.95,1320.77,1457,1574,1666,1930.11,2116.96,1611,2110.26,3386.47,1165
