"","transcript_id","RNA_WT_rep1","RNA_WT_rep2","RNA_WT_rep3","RNA_pbp1d_rep1","RNA_pbp1d_rep2","RNA_pbp1d_rep3","RNA_pab1d_pbp1d_rep1","RNA_pab1d_pbp1d_rep2","RNA_pab1d_pbp1d_rep3","RPF_WT_rep1","RPF_WT_rep2","RPF_WT_rep3","RPF_pbp1d_rep1","RPF_pbp1d_rep2","RPF_pbp1d_rep3","RPF_pab1d_pbp1d_rep1","RPF_pab1d_pbp1d_rep2","RPF_pab1d_pbp1d_rep3","CDS_WT_rep1","CDS_WT_rep2","CDS_WT_rep3","CDS_pbp1d_rep1","CDS_pbp1d_rep2","CDS_pbp1d_rep3","CDS_pab1d_pbp1d_rep1","CDS_pab1d_pbp1d_rep2","CDS_pab1d_pbp1d_rep3"
"1896","YOR109W_mRNA",18758.15,21507.27,18354.1,22523.01,22318.02,18171,13876,13671.78,12653.14,1319.62,1523.76,1561.67,1138.03,1927.34,1588,995.76,1260.41,454.81,1281.97,1469.99,1514,1058.28,1862,1530,965,1200,433.93
"1897","YOL065C_mRNA",1598,1742,1577,2281,1846,1794,2255.76,1804.43,2143,68,69.02,72.02,117.01,102.19,113.02,100.5,129,68,63,65,67,110,98,104.27,95,120,60
"1898","YLR095C_mRNA",11776.61,13091.52,11105.4,14821.22,13797.96,12002.19,12433.65,13234,14339.01,234.82,289.6,316.22,285.13,395.26,310.82,233.93,324.28,140.71,218,276.99,300.19,259.76,377,281.96,221.97,297,118.98
"1899","YFR013W_mRNA",6550,7556,6433.11,7826.63,7645,6506.63,6965.61,6305,6188.95,298.42,301.01,314.17,372.03,454.12,359.11,337.12,411.44,146.99,281,292,301.41,348,435,345.01,326,393,138
"1900","YMR044W_mRNA",2860,3026,2511,3394.11,3060.04,2369,2431,1614,1958,125,121.43,120.1,184.06,130,137.05,122.25,127.85,61.01,118,118,112,162,125,131,114,120,54
"1901","YHR085W_mRNA",3502,3913.98,3327.58,3773,3455.92,3286,3045.61,2611.6,3145,386,447.62,436.01,468.4,488.26,400.24,306.94,427.49,224.1,370,427,423,425,469,375,302,409,216.62
"1902","YNL182C_mRNA",11852.01,13869.96,11825.89,12925,12820.65,10824.01,8873.01,9945,10399,623.75,814.11,811.39,662.2,853.08,702.73,349.67,501.84,277.07,590,775,779,617.49,820,670,330,474,261
"1903","YDR315C_mRNA",707,811,547,979,853,698,1922,2597.33,1871,38.04,30,36.21,28.08,38.99,31.08,73.17,83.84,31,36,29,36.55,24,35,29,71.61,79.34,28
"1904","YPL209C_mRNA",853,936,765.14,1138,957,872,1163.89,1473,1617,32,44,35,45,27,46.19,52,55.02,15,29,40,33,39,27,44,51,52,15
"1905","YBR011C_mRNA",126627.65,133237.6,114318.92,146416.35,133711.19,111466.77,135691.96,110820.26,93377.44,4992.45,5342.48,5045.9,5523.58,6750.75,5290.94,5731.63,7901.97,2490.14,4751,5027,4811,4861.97,6315,4978,5353,7320.08,2249
"1906","YDR072C_mRNA",8317,8381.98,6954,10318.66,8415,7194.29,10021.1,7359,9350.21,484.65,457.05,480.3,504.09,596.75,456.86,402.55,323.31,159.99,458,434,460,452,555.99,429,378,307,142
"1907","YPL242C_mRNA",11913.04,13035,10967.94,14993.03,14649.75,12384,14129.27,16118,14946.93,450.05,489.27,469.05,490.05,644.2,551.29,445.29,720.07,257.22,435,475,456,458,615.99,523,435,677,232
"1908","YBR140C_mRNA",36717.97,41808.71,35930.92,41390.19,42534.82,35207.96,36807.22,34559.71,31638.92,634.82,788.4,789.33,625.72,924.74,708.43,541.01,924.76,283.76,609,745,745,568.62,872,664.04,509,866.5,259
"1909","YOL081W_mRNA",48702.98,55159.49,46936.06,53646.92,55677.69,46504.92,47798.98,56078.6,52430.99,728.52,995.65,1142.95,560.16,1114.84,1067.97,570.73,1114.07,456.08,697,946,1084,519,1070.36,1017,543,1037,418
"1910","YOL015W_mRNA",707.79,849,636,1201,1084,936,1834.89,4925.14,3849,0,0,0,5,2,1,1.04,7.01,2.03,0,0,0,5,2,1,1.01,6,0
"1911","YOR013W_mRNA",290.78,332.08,230.88,437,366.26,309.96,501.28,725.72,626.72,0,9.59,8.67,0,6.9,0,0,13.13,5.79,0,6.26,0,0,6.43,0,0,0,5.66
"1912","YOR235W_mRNA",6212.64,8418.83,5897.16,7732.05,7314.31,4501.26,8252.29,6927.73,6293,5,6.67,15.01,3.57,2.07,5.31,6.88,6.26,11.56,0,1,0,0,0,0,0,0,0
"1913","YOR135C_mRNA",2,3,0,6,1,5,11,6,3,0,0,0,0.98,0,0,2,2,0,0,0,0,1,0,0,1,1,0
"1914","YPL017C_mRNA",200,239,148,296,235,231,944.01,1987,2523,15,12.54,10,14.54,18,17,51.19,127.64,70.45,15,9,9,12,16,16,45,111,55
"1915","YPR038W_mRNA",4.53,1.34,5.81,16.59,15.34,1.35,23.39,55.47,68.17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"1916","YJL037W_mRNA",89,120,87,213,153,160,1417,1752,1563,4,5.01,3,8,11,3,57.12,86,35.03,1,2,0,4,1,2,26,26,11
"1917","YLL033W_mRNA",599,680,557.9,849,753.05,635,721.99,746,946,23,12.06,22,31.18,32,27.09,45,37,18,21,12,20,29,28,26,45,36,18
"1918","YDR112W_mRNA",1,2,2,6,5,8,7,30,15,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1919","YLR247C_mRNA",12340.33,13638.92,11646.72,15459.88,15657.94,12926,19237.46,27127.63,22715.25,193.01,253.1,268.29,221.3,324.52,270.48,325.84,645.28,214.74,183,238,258,198.78,298.99,252,307.95,568,183
"1920","YMR073C_mRNA",1846,2033,1624,2870.93,2301,2078,6408,3703,4177,146,117,104.06,112,160.02,121.02,414.97,489,123.09,140,111,103,100,152,116,396,477,109
"1921","YEL001C_mRNA",11264.99,10598,9285,18382.45,15645.09,12900.98,24420.6,17389,18088.93,385,369.13,358,683.96,567,565.55,758.26,893.04,444,371,345,347,628,540,538,721.99,838,391
"1922","YOR044W_mRNA",1017,1166,852,1785.99,1283,1275.61,3959.98,3729,3932,83.59,75.97,53,169.01,129.99,100.07,278.03,250.84,126.19,77,73,52,152,124,91,269,228,120.78
"1923","YIR036C_mRNA",1302,1279,939,1859,1729,1292,3981,2841,2716,467.89,511.33,519.89,789.12,785.77,715.43,1736.93,2013.91,699.53,354,406,412,560,597,541,1338,1588,511
"1924","YLR021W_mRNA",1831,1894,1564,2695,2334,2000,3759,3067,3479,36.07,51.05,47,89.95,88.57,71.02,137.02,136.02,68.02,33,46,44,81.95,79.92,66,130,124,60
"1925","YDR332W_mRNA",2007,2260,1746,2804,2253,2044,2801,6677,5021,27.02,32.07,40.13,30.1,44,40.08,19.01,24.01,18.01,27,29,37,27,41,36,19,22,12
"1926","YDR540C_mRNA",358,377,301,509,511,330,737,1447,1174,13,5,13,19.52,20.01,13.03,28,58.02,27,11,3,12,12,19,13,27,54,25
