sample	feature	imp_ave	imp_sd	sig
WT	tunnel_central_v_hydrophobic	-0.362563299704869	1.05503845634125	ns
WT	tunnel_constriction_aromatic	-0.500064883269627	1.16291924662015	ns
WT	tunnel_constriction_hydrophilic	1.0914401186578	0.937997272837913	ns
WT	tunnel_constriction_hydrophobic	1.449652828482	0.968422754249992	ns
WT	tunnel_constriction_neg_charge	-0.46674121187128	1.0823628295007	ns
WT	tunnel_constriction_neutral	0.270486600746025	0.846351994950812	ns
WT	tunnel_constriction_no_charge	0.075400874273501	1.04853168180233	ns
WT	tunnel_constriction_nonpolar	1.39126228466424	1.3133375968683	ns
WT	tunnel_constriction_polar	-0.0867517608118924	1.02474577318734	ns
WT	tunnel_constriction_pos_charge	0.244272869947045	1.12933328476346	ns
WT	tunnel_constriction_v_hydrophobic	0.0512487530366891	0.844851288296206	ns
WT	tunnel_lower_aromatic	-0.365352597950839	0.92820634722368	ns
WT	tunnel_lower_H_count	0.149048591957576	1.15181972417661	ns
WT	tunnel_lower_hydrophilic	0.142958877825591	0.966450651311735	ns
WT	tunnel_lower_hydrophobic	0.224712714793946	0.865027374714654	ns
WT	tunnel_lower_neg_charge	0.232831095006991	1.0004572323887	ns
WT	tunnel_lower_neutral	0.0356872879275484	1.04997000142685	ns
WT	tunnel_lower_no_charge	-0.0610622315345845	0.781159252474927	ns
WT	tunnel_lower_nonpolar	0.70403193493933	1.11038997976719	ns
WT	tunnel_lower_polar	0.109613920051588	0.94796084901322	ns
WT	tunnel_lower_pos_charge	0.0820948791546185	1.20800968626576	ns
WT	tunnel_lower_v_hydrophobic	0.406161064675045	1.06668875698	ns
WT	tunnel_upper_aromatic	0.0244101520141931	0.959062024891352	ns
WT	tunnel_upper_hydrophilic	-0.219764207318186	0.995394619134503	ns
WT	tunnel_upper_hydrophobic	-0.239189163500158	0.915846074651063	ns
WT	tunnel_upper_neg_charge	0.202628396601627	0.998827356203	ns
WT	tunnel_upper_neutral	-0.0490995234146982	1.13236234297147	ns
WT	tunnel_upper_no_charge	-0.179384967290532	1.02365669343059	ns
WT	tunnel_upper_nonpolar	-0.0201671707882992	1.1038911331784	ns
WT	tunnel_upper_polar	0.212514311610908	0.952424533089149	ns
WT	tunnel_upper_pos_charge	-0.168243839362685	1.01363354862967	ns
WT	tunnel_upper_v_hydrophobic	0.484238717160568	1.08904039417124	ns
WT	utr3_fraction_A	0.672320957448833	1.29298016388275	ns
WT	utr3_fraction_C	0.0150154577254856	1.29314133546255	ns
WT	utr3_fraction_G	2.61296309555109	1.09630657647781	ns
WT	utr3_fraction_T	4.50474554504998	1.16186661719266	p < 0.05
pbp1d	aa_m01	5.01526060981444	1.17471564928549	p < 0.05
pbp1d	aa_m02	1.18038487874631	1.33790686304878	ns
pbp1d	l_utr3	2.26728902562811	1.10259361953041	p < 0.05
pbp1d	nis_stop	0.983739160398732	1.03344496193729	ns
pbp1d	nt_m01	0.352067190407597	1.15135483301047	ns
pbp1d	nt_m02	0.619565699743568	1.14531023276785	ns
pbp1d	nt_m03	1.43413687583826	1.17163970462252	ns
pbp1d	nt_m04	-0.017746336570119	1.34846027656453	ns
pbp1d	nt_m05	0.394922775048547	1.21677453011609	ns
pbp1d	nt_m06	1.0994862901464	1.09370078905372	ns
pbp1d	nt_m07	0.0928320764635886	1.10237462155523	ns
pbp1d	nt_m08	-0.224840752653023	0.889619927734917	ns
pbp1d	nt_m09	1.56358440616232	1.2082486705268	ns
pbp1d	nt_m10	0.00449291459782751	1.17350954703776	ns
pbp1d	nt_m11	-0.242184635601943	0.979523483618497	ns
pbp1d	nt_m12	0.276358530063081	1.10619007851911	ns
pbp1d	nt_m13	0.342474768534817	0.890658638191753	ns
pbp1d	nt_m14	0.892298772037637	1.09838116863858	ns
pbp1d	nt_m15	-0.526550832059891	0.75681313903228	ns
pbp1d	nt_m16	0.00243149856156245	0.8913332197536	ns
pbp1d	nt_m17	0.200417268831799	1.16022230540686	ns
