sample	feature	imp_ave	imp_sd	sig
WT	tunnel_constriction_pos_charge	0.13115899008825	0.895723270969307	ns
WT	tunnel_constriction_v_hydrophobic	-0.0838895324476313	1.20224637063154	ns
WT	tunnel_lower_aromatic	0.298324647690293	0.963499279666618	ns
WT	tunnel_lower_H_count	-0.243046351813454	0.946776716268328	ns
WT	tunnel_lower_hydrophilic	0.526652125498348	1.16090880210287	ns
WT	tunnel_lower_hydrophobic	0.218868218370847	0.878892391051264	ns
WT	tunnel_lower_neg_charge	0.481200549111756	1.03749208493297	ns
WT	tunnel_lower_neutral	0.315365634172575	0.848978714983569	ns
WT	tunnel_lower_no_charge	0.0984962515729292	1.15621412070012	ns
WT	tunnel_lower_nonpolar	0.389454804442627	1.01456757247345	ns
WT	tunnel_lower_polar	0.406081266544122	0.661569049629691	ns
WT	tunnel_lower_pos_charge	0.0890604267762971	1.17512567260411	ns
WT	tunnel_lower_v_hydrophobic	0.192802399617144	1.14516002951554	ns
WT	tunnel_upper_aromatic	0.221479025164819	1.03632545542392	ns
WT	tunnel_upper_hydrophilic	-0.0269543165394167	1.1381243995429	ns
WT	tunnel_upper_hydrophobic	0.0466959711163691	0.912145001784075	ns
WT	tunnel_upper_neg_charge	0.298189407570482	0.794624270181358	ns
WT	tunnel_upper_neutral	-0.18499914776804	0.880717178864499	ns
WT	tunnel_upper_no_charge	-0.0171507549097745	1.08699303157796	ns
WT	tunnel_upper_nonpolar	0.137823574674364	0.916627914646684	ns
WT	tunnel_upper_polar	0.457573707081719	1.0659445622296	ns
WT	tunnel_upper_pos_charge	-0.136603907911724	0.90510192453025	ns
WT	tunnel_upper_v_hydrophobic	0.163694339088944	1.35192326409253	ns
WT	utr3_fraction_A	1.39604759225126	0.872149760347935	ns
WT	utr3_fraction_C	0.431993804817104	0.851024844698333	ns
WT	utr3_fraction_G	1.29611750125495	0.941801822295087	ns
WT	utr3_fraction_T	3.21596981916293	0.957786434802149	p < 0.05
pbp1d	aa_m01	3.65822351539341	1.26750415422758	p < 0.05
pbp1d	aa_m02	2.51589769874342	1.1195772893313	p < 0.05
pbp1d	l_utr3	2.23265057372098	1.07284684962581	p < 0.05
pbp1d	nis_stop	0.0496235240777337	1.15016870497419	ns
pbp1d	nt_m01	0.45688075568869	0.875360189570727	ns
pbp1d	nt_m02	0.888413060657143	0.916352869833514	ns
pbp1d	nt_m03	0.647875247107349	1.15730167159556	ns
pbp1d	nt_m04	0.666508271000144	0.88376790713425	ns
pbp1d	nt_m05	0.112302719155825	0.902001252259385	ns
pbp1d	nt_m06	0.929097339451478	1.07201961684079	ns
pbp1d	nt_m07	-0.0812694434788482	1.09522807719016	ns
pbp1d	nt_m08	0.0814977931227315	1.50918501632393	ns
pbp1d	nt_m09	0.832579874608722	1.05911912344586	ns
pbp1d	nt_m10	0.19060938785029	1.2899896506502	ns
