pair,logFC,AveExpr,t,P.Value,adj.P.Val,B,Protein
pbp1Δ / WT,-0.166666666666664,18.12,-5.72791886704111,0.000979624122077848,0.0345100497688943,-0.261747685045701,GLC7
pbp1Δ / WT,-0.169999999999998,18.8116666666667,-5.70388617018444,0.00100243733524697,0.0348722887999038,-0.285569748912986,RSC9
pbp1Δ / WT,-0.176666666666666,17.0583333333333,-5.68816704358373,0.00101768361930495,0.0349655989200702,-0.301195264232999,CYM1
pbp1Δ / WT,-0.183333333333334,17.1116666666667,-5.6633895647134,0.00104225099317326,0.0353729818780634,-0.325896312851283,MED1
pbp1Δ / WT,-0.813333333333325,19.04,-5.64596634777618,0.0010599279037181,0.035502974267154,-0.343318046658413,YGP1
pbp1Δ / WT,0.166666666666671,16.4666666666667,5.61402032008072,0.00109322630076955,0.035502974267154,-0.375373845096272,RNR2
pbp1Δ / WT,0.166666666666675,19.34,5.59204526488708,0.00111681769401544,0.035502974267154,-0.39750920384191,VMA4
pbp1Δ / WT,-0.279999999999998,18.1233333333333,-5.58619470156252,0.00112319514720546,0.035502974267154,-0.403414127834454,ARG4
pbp1Δ / WT,-0.149999999999991,18.7416666666667,-5.58350246209148,0.00112614365579657,0.035502974267154,-0.406133035030396,CBF1
pbp1Δ / WT,-0.199999999999999,16.8533333333333,-5.58166914537634,0.00112815648581144,0.035502974267154,-0.407985107974413,MSP1
pbp1Δ / WT,-0.153333333333336,19.2833333333333,-5.57511944115337,0.00113538077965386,0.035502974267154,-0.414605770060241,FRA1
pbp1Δ / WT,-0.176666666666669,16.695,-5.55011928723713,0.00116344018256936,0.0356211032108442,-0.439933590291638,MOD5
pbp1Δ / WT,-0.196666666666662,16.6883333333333,-5.54896228700587,0.00116475759690507,0.0356211032108442,-0.441107938244045,YLR257W
pbp1Δ / WT,-0.150000000000002,17.1816666666667,-5.50466271576783,0.00121648885861031,0.0358028258830652,-0.486217467019775,YLL032C
pbp1Δ / WT,-0.233333333333338,18.5466666666667,-5.50354345193078,0.00121782907389014,0.0358028258830652,-0.487360882002789,NOP53
pbp1Δ / WT,0.210000000000008,17.055,5.5008239603109,0.00122109236393991,0.0358028258830652,-0.490139812773467,ALD2
pbp1Δ / WT,-0.153333333333327,15.9466666666667,-5.49993685948278,0.00122215898630657,0.0358028258830652,-0.491046535298823,SSK2
pbp1Δ / WT,0.333333333333339,15.0433333333333,5.485708183924,0.00123941160911283,0.0359300261266772,-0.50560558141327,ROG1
pbp1Δ / WT,0.266666666666666,16.4766666666667,5.46555711243795,0.00126431755538913,0.0359491010034505,-0.526275015372502,YFR018C
pbp1Δ / WT,-0.199999999999996,19.0766666666667,-5.45065086538557,0.00128310462439266,0.0359491010034505,-0.54160286903473,RPL34B
pbp1Δ / WT,-0.363333333333333,17.5083333333333,-5.43886891051369,0.0012981769860585,0.0359491010034505,-0.553741072279223,RIP1
pbp1Δ / WT,0.163333333333334,18.3983333333333,5.43788119757769,0.00129944958964906,0.0359491010034505,-0.554759574511979,RNR4
pbp1Δ / WT,-0.303333333333331,17.615,-5.43385121964023,0.00130465655815613,0.0359491010034505,-0.558916658705206,MSS116
pbp1Δ / WT,0.250000000000004,19.3783333333333,5.40727394111627,0.00133959123901028,0.0365498276290747,-0.586391909482932,PTH2
pbp1Δ / WT,-0.240000000000002,17.96,-5.39638952355933,0.00135420188313324,0.0365749136398468,-0.597674069215064,NDI1
pbp1Δ / WT,0.226666666666668,15.5366666666667,5.37753570326969,0.00137993745317412,0.0365749136398468,-0.617258186420324,MRX1
pbp1Δ / WT,-0.226666666666667,17.8566666666667,-5.3775357032696,0.00137993745317424,0.0365749136398468,-0.617258186420413,EAP1
pbp1Δ / WT,0.153333333333336,17.0966666666667,5.35826760623854,0.00140680973743098,0.036935391502551,-0.637326890102426,YLR225C
pbp1Δ / WT,-0.156666666666663,18.595,-5.31923345996296,0.00146307640664896,0.03805366018415,-0.678151600805175,IPI3
pbp1Δ / WT,0.15333333333334,17.1566666666667,5.29141849589493,0.00150471883685272,0.0381970227550613,-0.707380776921321,MAP2
pbp1Δ / WT,0.183333333333334,16.295,5.2910202668527,0.00150532465353432,0.0381970227550613,-0.70780009124567,PLP2
