gene	YPA_WT_pre_shift.TE	YPA_4Gts_pre_shift.TE	YPA_WT_0h.TE	YPA_4Gts_0h.TE	YPA_WT_2h.TE	YPA_4Gts_2h.TE
YPL170W	3.113085212	2.744322488	5.058201423	3.431976687	4.399795285	4.616471313
YDR204W	1.113909963	1.451967996	1.119564505	1.393170486	1.278732044	1.700805221
YBR085C-A	3.130990166	2.846318214	3.133281436	2.896256922	3.092132652	4.168229543
YDR251W	0.653610042	0.613840128	0.591282533	0.640654018	0.661636178	0.61206731
YER089C	1.222677007	0.919862765	1.098076189	1.077056514	1.033760325	0.834204465
YOR074C	1.714264034	1.572965329	1.485533501	1.763409885	2.687520049	2.126006526
YPL028W	1.744649579	1.599234487	1.688896594	1.552672183	2.251411819	2.191053424
YDR150W	0.525305556	0.553492858	0.427599539	0.527520834	0.611516439	0.501044314
YBR158W	0.368068104	0.3438934	0.394539264	0.320444445	0.265773771	0.200280751
YOL097C	1.746813351	1.859655891	1.44449821	1.745683461	1.504615276	2.113368711
YOR110W	1.467228279	1.593662241	1.347962854	1.423905221	1.411971193	1.038342626
YDR407C	0.397097702	0.451613092	0.433882129	0.437880467	0.381634233	0.446689791
YFR019W	0.370248482	0.509181786	0.452557334	0.414375869	0.429137691	0.507989161
YLR262C-A	3.867604793	4.65891002	3.716397825	6.237417047	3.412832144	6.557636104
YBR223C	0.566641155	0.964075524	0.810321996	0.440480193	0.58206864	0.70631446
YNL241C	1.774182146	1.586739106	1.900423284	1.653076529	2.342840698	2.239304679
YJL154C	0.704490336	0.651011966	0.646370199	0.648502812	0.682071622	0.632151442
YDR091C	1.118401535	1.282824392	1.073087576	1.06759831	0.86191103	1.158125338
YJL123C	1.778335627	1.977069681	2.010006999	2.12424089	2.191048261	2.834675368
YER086W	1.405316766	1.439339633	1.273579584	1.174097288	1.4551716	1.036145802
YLR287C-A	2.671756445	3.037142806	2.47241271	3.487467837	3.324092846	4.572004212
YBR176W	1.124320337	0.850685331	1.509302037	1.218691648	0.935467457	1.506427481
YPL173W	1.991043379	2.419433959	2.215055582	2.427614969	2.456131871	1.108866299
YGL238W	0.559955817	0.680941765	0.514077421	0.581342237	0.540696767	0.751956988
YHR060W	1.670864945	2.122254809	1.945322626	2.269439498	1.413071373	2.317234626
YDR450W	1.981573626	1.896491902	1.663252523	2.009326511	1.969353387	2.412146903
YKL191W	0.930750271	0.799219226	0.796576075	0.366601765	0.872485199	0.659996531
YNR006W	1.32704075	1.578389347	1.743756723	1.518604046	1.910377142	1.526834208
YHR120W	0.567143182	0.575817665	0.337184498	0.332869504	0.317390744	0.223137711
YOL137W	0.963960545	1.168158075	0.957118365	0.680998149	1.15201085	1.089185609
YDR530C	1.26861968	1.023375033	1.661052514	1.336880455	1.079418386	0.525345242
YER111C	0.623746488	0.551959219	0.580613284	0.560985044	0.636713051	0.572217077
YER144C	0.395204583	0.481720632	0.772908705	0.464251385	0.537845066	0.39145517
YOL039W	2.465811301	2.653013571	2.384870845	2.237065482	3.307478398	3.557869403
YIL083C	1.24960874	1.290057895	1.439426943	1.391419598	1.189281789	1.335011947
YHL011C	1.410671329	1.309129291	1.384158904	0.984602783	1.159364111	1.002799359
YMR303C	1.830579976	1.011191997	3.199819616	2.224325316	3.288168112	2.242820071
YPL060W	0.826544893	0.833436853	0.893119096	1.074742475	0.645431245	0.788452751
YDR411C	1.196187403	0.817325122	1.157998977	0.822939717	1.188875197	1.561963978
YBR205W	0.973561746	1.022780146	0.993883172	1.014890173	0.97224652	1.01059223
YOR321W	0.824142844	0.951546927	0.673067125	0.869611114	1.385177846	1.304850566
YMR186W	1.846537691	1.781701937	1.656631393	1.77775055	2.359856067	3.076482208
YMR278W	1.095231595	0.84486784	1.110052416	0.967457479	1.291027544	1.321768629
YLR136C	1.934938427	1.988893661	1.650799103	1.52796578	2.05785056	1.925439872
YML015C	0.999987353	1.00669781	1.234076372	0.983729392	1.060373623	1.162688933
YOR197W	1.274388517	1.359627926	1.463671976	1.402085402	1.779071302	1.650510689
YKR089C	0.531968579	0.589861998	0.640600653	0.629113596	0.942554332	0.913500035
YKR072C	0.909621456	0.817602482	1.194202138	0.75875013	1.147783287	0.534726407
YDL014W	2.786204044	3.05844348	2.675387086	2.289713548	3.390267271	3.512818964
YER079W	1.830441934	1.860702889	1.98408248	2.371436779	3.222951285	2.787033765
YER024W	0.592284215	0.613312169	0.904723665	0.809553221	0.381982545	0.509648951
YOR230W	1.503282434	1.929140576	1.818532181	1.891137267	2.240964264	3.338634198
YGR234W	1.78563987	1.907944528	1.832453302	1.957653354	1.913495987	2.827787168
YMR178W	1.338980812	1.801299005	1.79358838	1.751301672	1.345522785	1.870500073
YPR037C	1.161594465	1.20285584	1.042137121	1.26569353	1.284406127	0.982227939
YNL090W	1.771426261	1.763627793	1.712803436	1.660913348	1.540115476	2.02476812
YOR307C	0.396233687	0.385959085	0.47623608	0.469812947	0.418068454	0.720601886
YBR095C	0.944584454	1.127291819	0.910917139	1.08755729	0.931626166	0.901861783
YDR036C	1.450936608	1.337875402	1.479216283	1.392262883	1.55045864	1.115089689
YFL005W	1.873686701	1.918333803	1.881672052	2.553633534	1.747507999	2.654695979
YMR152W	1.424084079	1.371549037	1.36472679	1.535059076	1.666068522	2.123995167
YDR154C	1.256819326	1.009491371	1.436455271	1.219460324	1.868865904	2.697312244
YMR125W	0.786147967	0.917099927	0.735511319	0.870164302	0.649709888	0.812268494
YMR029C	0.777452932	0.848277731	0.759567312	1.053947336	0.602201836	0.775984431
YGL180W	0.5775381	0.771782054	0.584095216	0.559316241	0.761293883	0.607430436
YGR118W	3.221995404	3.11899632	2.986557251	3.234657794	2.187696204	3.563966848
YJL055W	1.969805637	2.131912128	1.993236976	2.690596303	2.398751512	2.865825647
YPR102C	2.097135097	2.104640847	1.756060942	2.030561866	2.045832334	2.510176106
YNL188W	0.696193727	0.694556119	0.670800906	0.590880799	0.316100538	0.397013357
YPL064C	0.473216995	0.98310333	0.533047148	0.727630602	0.839322191	0.716967072
YPL086C	1.045271145	1.223767026	0.816435313	1.144325657	0.949536216	1.028393854
YLR425W	0.56300884	0.396438416	0.479269594	0.465284852	0.500831836	0.515806851
YDR109C	0.74974709	1.098363721	0.602503636	1.001779473	1.044009833	1.417337684
YDR221W	0.892593641	0.880860584	0.900822162	0.918761465	0.784767612	0.828568705
YLR109W	2.63783831	2.752050946	2.877799168	2.407840317	3.822072746	4.56012994
YMR078C	0.566710562	0.821593498	0.988233477	1.024808886	1.016871116	1.048115262
YLR094C	1.006371105	0.951845686	1.319862893	0.818158486	1.220168405	1.000473659
YJR060W	2.864752872	2.901131417	2.604337607	3.110917065	4.291102616	3.565508831
YNL161W	1.034151847	1.033055608	0.864317053	1.039662807	0.996588697	0.881047749
YIL146C	0.594276707	0.234770945	0.924817425	0.688481645	0.917530766	0.481566472
YLR195C	1.621372499	1.449863694	1.202358488	1.438714657	1.365818292	1.543012947
YLR231C	1.401370599	1.449248955	1.715418175	1.498220697	1.323783897	2.366199607
YKL016C	1.753014582	2.035023894	1.772216443	2.191925809	2.417383072	2.699690826
YPL111W	1.692673423	1.404712818	2.029139921	1.671333328	2.10104836	3.373497958
YKL174C	0.448822764	0.331797374	0.385469225	0.503843386	0.448768406	0.374582102
YKL121W	0.404116173	0.450916728	0.468939522	0.375895151	0.37240514	0.278027861
YLR380W	1.548805005	1.352297531	1.539090893	1.289856124	2.457849031	1.974148917
YMR012W	0.905888649	1.134733724	0.869037098	0.934233391	0.950254388	0.762144543
YER093C	0.403611532	0.382613188	0.51778975	0.420905809	0.310156767	0.247090347
YDL201W	1.331282681	1.48320372	0.998086831	1.06864325	1.689615914	1.265905446
YFR003C	3.417678296	3.472033226	2.963720364	3.280792818	3.632981417	2.903044161
YIL033C	1.959541452	2.062604342	1.905438496	2.173678695	2.421801914	3.331774128
YGR128C	1.012131388	1.088147248	0.794579644	0.718821515	0.756910551	0.98625802
YIL048W	0.552019937	0.451433996	0.430989582	0.481003165	0.372603509	0.499157337
YLR337C	3.437047688	2.649204764	3.539173528	1.950697995	3.274888775	2.77682485
YOL056W	1.104373063	1.557840662	0.9994027	1.500147507	1.136078785	1.155599366
YFR052W	1.521804379	1.89051232	1.619003703	1.709759537	1.905358286	2.14065517
YGR088W	0.874593369	0.646039331	1.081254083	1.446652533	1.954900855	0.9957876
YGL073W	0.79409597	0.893518767	0.761753617	0.610656433	0.951238134	0.637701056
YGR106C	1.184504894	1.395095952	1.155196559	1.419157233	1.147896526	1.559071452
YGL086W	0.682269852	0.786482664	0.621672866	0.9827738	0.551752565	0.720538172
YAL044C	2.628016055	1.995121465	2.949516306	2.737765041	3.036849248	3.593751617
YPR081C	0.597655538	0.927646219	0.800854142	0.623866863	0.887768361	0.591584425
YDR284C	1.02963388	0.811853073	1.023159808	1.056879719	0.886651109	0.964742457
YJL097W	1.108675424	1.06477653	0.968414827	1.235736287	1.09648227	1.724318657
YBR193C	1.561161691	1.444268165	1.732902339	1.504899535	1.550181591	1.560371762
YHR143W	1.082476097	0.614797259	0.822006028	0.592103286	0.712054966	0.483978952
YCL004W	0.407359635	0.676099133	0.796245957	0.695332209	0.737730025	0.56993473
YDR329C	0.901387667	0.846981331	1.047342769	1.045226943	0.571223493	0.975435737
YDR487C	1.887683172	1.570115754	1.808401527	1.57959334	1.734386842	1.690559406
YPR185W	0.651242636	0.650882205	0.701418374	0.669357155	0.844999959	1.01238406
YLR077W	0.662584375	0.496725893	0.837840895	0.818875896	0.717454859	0.336187914
YBR056W	1.249960035	1.567096055	1.413674504	1.557889863	1.318749263	2.000947318
YHR034C	1.74196558	1.609545918	1.405925186	1.795452134	1.927402769	2.195531696
YOL070C	2.238826941	1.731481215	2.253286611	2.224325316	2.771285914	2.984332142
YJL085W	1.184134722	0.922604664	0.900597678	1.139219629	0.804056553	1.265480075
YNR054C	2.033533305	1.979766707	1.457848559	1.815296605	2.186539406	2.149369235
YDR130C	1.552722979	1.251222421	1.449527699	1.57203309	1.043911202	1.791613003
YIL015W	0.933823877	0.768540094	1.0356381	0.746059292	0.71478447	0.69448887
YBR291C	1.209178578	1.5349972	0.768371946	0.980686065	0.590405561	1.454410903
YML114C	0.823775275	0.859081064	0.850989447	0.898977689	0.940362345	0.60241035
YHR201C	2.072944744	2.302821241	2.149407812	2.303598965	2.07361953	1.667456099
YNL299W	0.611405888	0.667318624	0.639357113	0.390458341	0.759853732	0.706175285
YGR008C	3.59988928	2.526277649	3.280939307	5.107513836	3.20515444	3.291881072
YNL311C	0.478767071	0.553074906	0.535186182	0.446766196	0.463458743	0.489711359
YDR165W	0.845746453	0.987729699	0.656926426	0.795505235	0.735537818	0.715382264
YGR248W	2.071872531	2.117453327	1.82337645	1.944658683	3.085445928	2.650605539
YBR074W	0.534021541	0.47516661	0.482354259	0.473828851	0.36250317	0.512654056
YOR150W	1.360302004	1.542715995	1.635839481	1.760015579	1.514071403	1.511826863
YML036W	1.480168402	2.705500365	1.487106419	1.521906795	1.371264528	1.791919786
YDL088C	0.901032251	0.632270377	1.081359691	0.764362687	0.935903705	0.647925798
YLR113W	1.295027714	1.213049533	1.327855891	1.266079118	1.390479164	0.772670133
YLR142W	1.053371378	1.21904813	0.807608985	1.121083749	2.61671036	0.763626834
YNL207W	1.692966333	1.651013227	1.075594555	1.874200035	1.353036744	1.308890351
YER130C	0.729532581	0.524321776	0.873149939	0.672089225	0.805182052	0.440790228
YER165W	1.635268121	1.624243742	1.244168502	1.174905387	2.134000789	1.269257627
YMR106C	0.74671398	1.494317062	1.176367765	0.742377936	1.106707053	1.426979437
YGL112C	0.928951033	1.280040663	1.085456945	0.989384568	1.323243591	1.018169112
YDL008W	1.314277914	0.96125659	1.569331096	1.45938715	1.058409969	1.871542424
